1,0.5	88,32,59,56,28,77,93,49,96,22,90,16
2,0.5	52,48,34,8,93,22,77,55,32,3,67
3,0.5	72,76,97,13,27,93,87,21,8,54
4,0.5	62,14,6,79,95,18
5,0.5	56,81
6,0.5	36,24,63,90,52,64,71,76,14
7,0.5	80,60,30,41,29,6,24,36
8,0.5	3,35,96,38,75,59,26,87,13,55
9,0.5	10
10,0.5	76,95,98,52,47,7,96,67,69
11,0.5	22,31,94,40,3,47,92
12,0.5	1,77,87,55,56,26,38,78,80,35,15,46,28
13,0.5	33,53
14,0.5	25,1,94,78,50,4,13,40
15,0.5	60,70,78,83,94
16,0.5	70,61,62,59,77,28
17,0.5	56,57,13,24,23
18,0.5	36,57,65,75,35,12,40,49,88,23
19,0.5	34,22,65,14,20,98,7,29,79,59
20,0.5	38,52,67,89,51,83,3
21,0.5	56,43,53,64,32
22,0.5	37,32,97,29,90,10,3,80,47,26,67,76,57
23,0.5	94,79,10,78,11,7,76,8,19,15,99
24,0.5	31,8,69,90,17,34
25,0.5	8,14,13,78,39,41,25,46,76,7,75
26,0.5	1,18,86,40,53,4,67,87
27,0.5	77,93,7,88,24,36,94,35,12,69,5
28,0.5	13,59
29,0.5	60,78,26,53
30,0.5	61,17,2,7,81
31,0.5	11,93,39,10,40,20,97,34,12,26,4,72,57
32,0.5	79,11,85
33,0.5	8,46,87,91,93,62,79,81,24,22
34,0.5	32,55,72,37,67
35,0.5	76,7,79
36,0.5	56,77,54,50,86,9,85,62
37,0.5	58,28,32,38,57,88,2,99,83,53
38,0.5	89,4,97,44,14,16,1
39,0.5	60,68,7,35,3,89,65,10,57,13,42
40,0.5	37,86,14,93,42,31,95,36
41,0.5	30,95,88,87,79,93,3,41,50
42,0.5	49,54,78,15,25,97,18,69,45,60,58,9
43,0.5	12,14
44,0.5	16,38
45,0.5	85,29,76,100,43,64,66,34,4,27,89,59,50
46,0.5	100,24,37,97,69
47,0.5	59,72,53,79,95,54,32,99,17,30,98
48,0.5	28,32,87,73,42,79,99,4,3,1,25
49,0.5	79
50,0.5	63,7,52
51,0.5	93,85,83,98,48,61,78,84,24,10,63,64,17
52,0.5	84,71,11,6,99,100,16,17,3,80,8,15
53,0.5	95,41,57,53,63
54,0.5	41,37,76,36,24,60
55,0.5	54,13,6,56,3,55
56,0.5	20,57,14,88,64,95,15,98,92,41
57,0.5	8,41,92,19,60,56,1,68,93,74,80
58,0.5	3,39,86,94,12,48,25
59,0.5	92
60,0.5	86,88,36
61,0.5	72,59
62,0.5	9,43,25,56,19,93,91,53,11,35,80,66
63,0.5	28,29,64,86,13,100,81,41,19
64,0.5	23,76,92,59,29,72,7
65,0.5	21,97,83,3,50,93,73,59
66,0.5	37,6,18,16,26
67,0.5	7,58,17,23,53,1,57
68,0.5	87,41,88,32,90
69,0.5	50,11,61,57,62,37,23
70,0.5	54,49,11,52,78,73
71,0.5	29,53,19,34,43,23,88,37,59,42,99
72,0.5	85,71
73,0.5	71,52,46,15,33,95,43,87,89,98,82,88,34
74,0.5	29,82,12
75,0.5	14,36,9,73,57,70,67,47,3
76,0.5	6,31
77,0.5	22,29,5,52,21,13,11,64,70
78,0.5	52,47,43,11,46,79,3,34,5,12,62
79,0.5	13,25,41,59,30,76,16,6,80,62
80,0.5	11,18,72,28,61,27,49,19,16,79,81,14
81,0.5	1,28,83,52,66,15,65,4,91,41,56,60
82,0.5	13,73,93,26,61
83,0.5	47,71
84,0.5	56,46,16,10,79,80,49,100,62,12,54,33
85,0.5	6,5,18,71,95,49,98,8,85,59,67
86,0.5	35,33,58
87,0.5	5,7,66,24,71,47,82,14
88,0.5	61,68,13,48,60
89,0.5	70,99,9,36,41,12,39,29,69,18,50,94
90,0.5	98,35,19,24,61,94,20,42,71,86,89
91,0.5	97,82,46,3,67,68,18,16,47,98,6,5,4
92,0.5	57,79,4,66,95,28,85,82,93,55,46,70,13
93,0.5	31,41,27,85,56
94,0.5	74,44,62,67,77,35,91,15,76,28,36,23,66
95,0.5	100,30,78,81,34
96,0.5	75,79,1,41,48,33,24,69,54
97,0.5	65,96,91,34,29,27
98,0.5	51,56,87,78,3,74,7,29,30
99,0.5	55,23,46
100,0.5	10,49,83,55,58,2,36,3,62,64
